,City,Country,Date,Latitude,Longitude,Max Temp(f),Humidity,Wind Speed,Cloudiness
73,Kapaa,US,1613335395,22.0752,-159.319,77.0,78,6.91,75
74,Punta Arenas,CL,1613335322,-53.15,-70.9167,51.8,58,27.63,75
75,Husavik,IS,1613335397,66.0449,-17.3389,41.0,70,4.61,75
76,Saint-Philippe,RE,1613335398,-21.3585,55.7679,78.8,73,5.75,75
77,Lebu,CL,1613335399,-37.6167,-73.65,61.99,70,17.36,0
78,Chern',RU,1613335401,53.4523,36.9145,1.4,92,8.72,95
79,Ipameri,BR,1613335402,-17.7219,-48.1597,75.88,86,3.49,100
80,Chui,UY,1613335404,-33.6971,-53.4616,75.06,85,6.29,95
81,Northam,GB,1613335405,51.0333,-4.2167,51.01,94,10.0,100
82,Caravelas,BR,1613335320,-17.7125,-39.2481,77.79,76,8.61,100
83,Bereda,ES,1613335407,43.2686,-7.5406,64.0,40,3.0,100
84,Lakatoro,VU,1613335409,-16.0999,167.4164,82.71,75,2.84,100
85,Tura,IN,1613335208,25.5198,90.2201,61.83,47,2.73,0
86,Tocopilla,CL,1613335411,-22.092,-70.1979,73.94,55,8.08,9
87,Asău,RO,1613335412,46.4333,26.4,26.01,67,2.33,100
88,Flin Flon,CA,1613335413,54.7682,-101.865,-0.4,71,4.61,20
89,Fortuna,US,1613335414,40.5982,-124.1573,48.0,93,24.16,90
90,Manaia,NZ,1613335416,-39.55,174.1333,62.01,96,2.48,100
91,Penzance,GB,1613335417,50.1186,-5.5371,50.0,100,21.85,75
92,Bulls,NZ,1613335419,-40.1667,175.3833,64.99,88,2.93,100
93,Upernavik,GL,1613335420,72.7868,-56.1549,-1.71,90,1.45,100
94,Bariloche,AR,1613335421,-41.1456,-71.3082,80.01,16,11.5,40
95,Aquiraz,BR,1613335423,-3.9014,-38.3911,84.2,74,11.5,20
96,Johnston,US,1613335425,35.5335,-78.3997,37.99,100,5.75,90
97,Cabo San Lucas,MX,1613335162,22.8909,-109.9124,79.0,63,24.16,20
98,Ilulissat,GL,1613335427,69.2167,-51.1,10.4,61,9.22,90
99,Colares,PT,1613335428,38.7992,-9.4469,57.99,65,5.99,53
100,Buala,SB,1613335429,-8.145,159.5921,81.01,78,3.74,44
101,Saint-Joseph,RE,1613335430,-21.3667,55.6167,78.8,73,5.75,75
102,Meulaboh,ID,1613335432,4.1363,96.1285,76.75,88,4.5,10
103,Ribeira Grande,PT,1613335433,38.5167,-28.7,59.0,82,31.07,75
104,Price,US,1613335434,39.5994,-110.8107,33.8,47,13.8,1
105,Itoman,JP,1613335435,26.1247,127.6694,68.0,68,20.71,40
106,Harwich,GB,1613335436,51.9419,1.2844,37.99,62,11.99,100
107,Bonthe,SL,1613335437,7.5264,-12.505,79.36,86,7.63,8
108,Tuktoyaktuk,CA,1613335439,69.4541,-133.0374,-4.0,84,10.36,90
109,Chapais,CA,1613335441,49.7834,-74.8492,10.4,67,2.3,75
110,Vila,PT,1613335442,42.0304,-8.1588,52.0,77,5.73,99
111,Pevek,RU,1613335443,69.7008,170.3133,-19.71,87,1.25,45
112,Kemijärvi,FI,1613335444,66.7131,27.4306,4.32,93,4.21,28
113,Vanderhoof,CA,1613335445,54.0166,-124.0198,12.88,94,4.61,100
114,College,US,1613335446,64.8569,-147.8028,7.0,76,0.43,20
115,San Rafael,AR,1613335169,-34.6177,-68.3301,87.69,21,6.67,1
116,Boma,GH,1613335450,7.0805,-2.1697,77.94,78,4.41,7
117,Francisco Sá,BR,1613335451,-16.4758,-43.4883,77.22,72,1.88,100
118,Goderich,CA,1613335370,43.7501,-81.7165,19.4,79,6.91,100
119,Emerald,AU,1613335453,-23.5333,148.1667,73.4,100,9.22,40
120,Ozernovskiy,RU,1613335454,51.5,156.5167,22.78,94,7.4,100
121,Khatanga,RU,1613335456,71.9667,102.5,-34.91,82,2.01,86
122,Nikolskoye,RU,1613335457,59.7035,30.7861,12.2,73,11.18,75
123,Harper,LR,1613335458,4.375,-7.7169,79.18,88,5.5,100
124,Cape Town,ZA,1613335411,-33.9258,18.4232,68.0,82,4.61,75
125,Portmore,JM,1613335460,17.9702,-76.8672,86.0,65,27.63,20
126,Mahébourg,MU,1613335236,-20.4081,57.7,77.0,88,3.44,40
127,Saint Paul Harbor,US,1613335462,57.79,-152.4072,39.2,87,16.11,90
128,Bambous Virieux,MU,1613335465,-20.3428,57.7575,77.0,88,3.44,40
129,Hofn,IS,1613335466,64.2539,-15.2082,42.64,93,21.16,100
130,KwaDukuza,ZA,1613335467,-29.3282,31.2895,77.0,94,6.91,75
131,Shitanjing,CN,1613335396,39.2342,106.3439,22.33,77,5.17,0
132,Waipawa,NZ,1613335470,-41.4122,175.5153,64.4,77,4.61,99
133,Paphos,CY,1613335471,34.7667,32.4167,53.6,82,3.44,40
134,Sitka,US,1613335472,57.0531,-135.33,35.6,38,5.75,75
135,Beringovskiy,RU,1613335474,63.05,179.3167,-1.62,90,22.08,100
136,East Brainerd,US,1613335283,34.9959,-85.1502,42.01,75,11.5,90
137,Manadhoo,MV,1613335477,5.7667,73.3833,80.71,66,8.79,8
138,Corcoran,US,1613335479,36.098,-119.5604,57.0,54,11.5,1
139,Kuito,AO,1613335480,-12.3833,16.9333,60.67,62,3.22,90
140,Egvekinot,RU,1613335481,66.3167,-179.1667,-10.46,87,24.43,83
141,Steinkjer,NO,1613335482,64.193,11.3851,30.0,93,11.5,20
142,Umm Kaddadah,SD,1613335484,13.6017,26.6876,73.29,20,13.33,0
143,Batemans Bay,AU,1613335485,-35.7167,150.1833,64.99,79,1.99,85
144,Pakxan,LA,1613335487,18.3778,103.6601,67.51,74,3.29,40
145,Jaisalmer,IN,1613335488,26.9147,70.9181,67.32,23,7.78,0
146,Katsuura,JP,1613335489,35.1333,140.3,59.0,94,3.44,75
147,Barra Patuca,HN,1613335490,15.8,-84.2833,83.71,65,11.48,0
148,Sarishābāri,BD,1613335491,24.7333,89.8333,67.1,47,4.68,0
149,Port Elizabeth,ZA,1613335495,-33.918,25.5701,69.8,94,10.36,90
150,Souillac,MU,1613335496,-20.5167,57.5167,77.0,88,3.44,40
151,Vangaindrano,MG,1613335498,-23.35,47.6,74.52,89,4.9,95
152,Palmer,US,1613335500,42.1584,-72.3287,35.01,64,1.72,90
153,Vestmannaeyjar,IS,1613335501,63.4427,-20.2734,42.58,85,5.3,97
154,Kapiri Mposhi,ZM,1613335502,-13.9652,28.6809,64.71,94,5.39,59
155,Reyes Acozac,MX,1613335503,19.7667,-98.9833,71.6,17,13.8,1
156,Bhānpurī,IN,1613335505,21.1,80.9167,67.26,42,4.23,22
157,Cherskiy,RU,1613335506,68.75,161.3,-6.88,90,1.39,98
158,Belaya Kholunitsa,RU,1613335507,58.84,50.8528,2.14,94,4.94,100
159,Half Moon Bay,US,1613335509,37.4636,-122.4286,57.0,76,9.22,75
160,Castro,BR,1613335511,-24.7911,-50.0119,72.99,78,5.17,12
161,Cooma,AU,1613335512,-36.2333,149.1333,50.0,93,4.61,90
162,Kavieng,PG,1613335513,-2.5744,150.7967,83.17,72,6.2,66
163,Bauchi,NG,1613335514,10.5,10.0,75.16,18,6.15,0
164,Airai,TL,1613335515,-8.9266,125.4092,59.25,100,1.7,29
165,Ola,RU,1613335517,59.5833,151.2833,-10.53,81,7.31,31
166,Berzence,HU,1613335518,46.2091,17.1481,26.6,63,4.61,0
167,Puerto Ayora,EC,1613335519,-0.7393,-90.3518,81.0,74,9.22,90
168,Kavaratti,IN,1613335520,10.5669,72.642,80.85,59,3.98,72
169,Cidreira,BR,1613335521,-30.1811,-50.2056,76.62,81,5.88,100
170,Purpe,RU,1613335523,64.4803,76.6897,-19.55,86,18.92,100
171,Maputo,MZ,1613335437,-25.9653,32.5892,80.6,89,8.05,75
172,Salinas,US,1613335525,36.6777,-121.6555,55.4,54,10.36,90
173,Piaçabuçu,BR,1613335526,-10.4056,-36.4344,78.96,73,9.55,82
174,Ayan,RU,1613335528,56.45,138.1667,1.51,91,15.12,100
175,Longyearbyen,SJ,1613335525,78.2186,15.6401,15.8,73,8.05,75
176,Aksarka,RU,1613335530,66.5606,67.7975,-22.52,86,11.54,100
177,Horní Planá,CZ,1613335516,48.7674,14.0326,19.99,75,5.01,0
178,Togur,RU,1613335532,58.3631,82.8265,5.72,95,11.72,100
179,Dunyapur,PK,1613335533,29.7995,71.7196,59.0,82,2.1,20
180,Carnarvon,AU,1613335534,-24.8667,113.6333,75.2,100,7.74,40
181,Kamenka,RU,1613335535,51.3223,42.7678,-2.36,92,7.92,13
182,Lincoln,US,1613335503,40.8,-96.667,-5.01,59,17.27,75
183,San Benito,US,1613335538,36.6166,-121.0844,60.01,54,3.0,66
184,Masallātah,LY,1613335539,32.6167,14.0,51.26,74,20.07,68
185,Araouane,ML,1613335540,18.9048,-3.5265,79.66,14,10.38,15
186,Benicarló,ES,1613335541,40.4165,0.4271,43.0,96,1.01,100
187,Yulara,AU,1613335543,-25.2406,130.9889,77.0,38,8.05,40
188,Zhanakorgan,KZ,1613335544,43.9098,67.2495,42.71,72,3.15,0
189,Saskylakh,RU,1613335545,71.9167,114.0833,-20.85,86,12.01,100
190,Butaritari,KI,1613335546,3.0707,172.7902,80.33,79,20.2,76
191,Rocha,UY,1613335547,-34.4833,-54.3333,76.5,79,5.99,99
192,Hambantota,LK,1613335548,6.1241,81.1185,75.72,89,8.57,100
193,San Patricio,US,1613335549,28.017,-97.5169,35.6,93,18.41,90
194,Hobart,AU,1613335502,-42.8794,147.3294,57.99,88,5.75,75
195,Jumla,NP,1613335552,29.2747,82.1838,37.13,75,2.62,81
196,Yuanping,CN,1613335554,38.7153,112.7575,24.3,68,10.76,0
197,Paamiut,GL,1613335555,61.994,-49.6678,9.14,90,14.47,2
198,Tāttayyangārpettai,IN,1613335556,11.1333,78.45,75.2,83,4.61,20
199,Inuvik,CA,1613335558,68.3499,-133.7218,-5.8,77,4.61,98
200,Los Llanos de Aridane,ES,1613335559,28.6585,-17.9182,62.6,77,8.05,0
201,Sant Pere de Ribes,ES,1613335560,41.2667,1.7667,48.0,73,1.99,100
202,São Filipe,CV,1613335561,14.8961,-24.4956,71.58,72,10.98,10
203,Sawtell,AU,1613335562,-30.3833,153.1,69.8,64,13.8,40
204,Ligayan,PH,1613335564,4.6533,119.4706,80.53,83,17.31,100
205,Leningradskiy,RU,1613335565,69.3833,178.4167,-16.38,84,5.79,0
206,Petukhovo,RU,1613335566,55.0692,67.9019,16.92,93,13.78,39
207,Yantal',RU,1613335568,56.8471,105.2542,-18.58,85,2.75,85
208,Makat,KZ,1613335570,47.6469,53.3463,32.79,84,5.01,100
209,Seddon,AU,1613335571,-37.8068,144.8916,63.0,82,5.75,90
210,Geraldton,AU,1613335572,-28.7667,114.6,69.8,83,6.91,14
211,Umeå,SE,1613335573,63.8284,20.2597,-4.0,84,4.45,0
212,Muisne,EC,1613335574,0.6,-80.0333,84.2,89,6.91,75
213,Faanui,PF,1613335575,-16.4833,-151.75,81.93,73,11.21,5
214,Torbay,CA,1613335576,47.6666,-52.7314,27.0,68,4.61,75
215,Muncie,US,1613335577,40.1934,-85.3864,19.99,68,4.61,75
216,Teknāf,BD,1613335579,20.8624,92.3058,63.82,70,6.13,0
217,Ābdānān,IR,1613335580,32.9926,47.4198,53.96,41,4.29,0
218,Te Anau,NZ,1613335581,-45.4167,167.7167,57.65,84,0.67,82
219,Aksu,CN,1613335582,41.1231,80.2644,30.69,91,2.15,12
220,Vardø,NO,1613335583,70.3705,31.1107,21.2,73,13.8,75
221,Tra Vinh,VN,1613335314,9.9347,106.3453,68.97,87,5.08,84
222,East London,ZA,1613335586,-33.0153,27.9116,75.09,80,11.34,99
223,Kirgiz-Miyaki,RU,1613335587,53.6324,54.7979,2.1,92,13.8,34
224,Nome,US,1613335588,64.5011,-165.4064,12.2,52,5.75,1
225,Ponta Delgada,PT,1613335390,37.7333,-25.6667,60.01,72,21.85,75
226,Saldanha,ZA,1613335590,-33.0117,17.9442,66.2,82,5.75,49
227,Mahajanga,MG,1613335592,-15.7167,46.3167,78.8,89,3.44,40
228,Tuatapere,NZ,1613335593,-46.1333,167.6833,57.0,86,10.0,97
229,Mitsamiouli,KM,1613335594,-11.3847,43.2844,82.47,80,13.91,77
230,Zhangye,CN,1613335597,38.9342,100.4517,26.96,87,3.36,37
231,Kumul,CN,1613335599,42.8,93.45,30.9,84,6.73,16
232,Lompoc,US,1613335602,34.6391,-120.4579,60.8,48,13.8,1
233,Salgueiro,BR,1613335591,-8.0742,-39.1192,87.39,42,5.99,99
234,George Town,MY,1613335604,5.4112,100.3354,82.0,65,2.3,20
235,La Paz Centro,NI,1613335350,12.34,-86.6753,93.2,46,11.5,20
236,Lüderitz,NA,1613335607,-26.6481,15.1594,67.96,73,21.25,0
237,Mubi,NG,1613335608,10.2676,13.2644,75.04,18,3.91,0
238,Komatipoort,ZA,1613335609,-25.4332,31.9548,73.99,96,7.09,100
239,Constitución,CL,1613335611,-35.3333,-72.4167,64.96,65,9.82,2
240,Yeppoon,AU,1613335612,-23.1333,150.7333,73.4,88,8.05,90
241,Fort Myers Beach,US,1613335613,26.452,-81.9481,82.99,65,18.41,1
242,Bethel,US,1613335615,41.3712,-73.414,36.0,60,6.91,90
243,Synya,RU,1613335616,65.3718,58.0387,-8.91,91,2.91,100
244,Sabang,ID,1613335617,5.8933,95.3214,82.74,72,11.56,18
245,Shingū,JP,1613335619,33.7333,135.9833,62.49,91,17.94,100
246,Naze,JP,1613335620,28.3667,129.4833,62.46,76,23.31,0
247,Aurillac,FR,1613335622,44.9167,2.45,37.99,75,16.11,99
248,Taoudenni,ML,1613335623,22.6783,-3.9836,75.79,21,24.34,0
249,Tiksi,RU,1613335624,71.6872,128.8694,-19.43,88,5.61,100
250,Gorey,IE,1613335625,52.6747,-6.2925,46.0,91,10.63,9
251,Zafarwal,PK,1613335627,32.3463,74.8999,53.6,100,1.79,0
252,Sur,OM,1613335628,22.5667,59.5289,69.62,72,5.88,0
253,Xunchang,CN,1613335630,28.4543,104.715,57.02,74,1.92,100
254,Marzuq,YE,1613335631,14.4,46.4667,60.1,53,2.1,0
255,Iwanai,JP,1613335634,42.9744,140.5089,35.62,87,6.76,100
256,Mar del Plata,AR,1613335635,-38.0023,-57.5575,71.01,94,6.91,75
257,Portland,US,1613335274,45.5234,-122.6762,33.01,80,8.05,90
258,Camabatela,AO,1613335637,-8.1881,15.375,64.36,82,3.62,0
259,Mandlā,IN,1613335638,22.6,80.3833,62.73,34,4.45,16
260,Natal,BR,1613335622,-5.795,-35.2094,84.2,70,16.11,0
261,Skjervøy,NO,1613335640,70.0311,20.9714,21.2,93,13.8,90
262,Murgab,TM,1613335642,37.4966,61.9714,46.4,66,6.91,0
263,Nabire,ID,1613335571,-3.3667,135.4833,75.67,82,3.96,100
264,Lorengau,PG,1613335644,-2.0226,147.2712,82.18,76,7.07,100
265,Tefé,BR,1613335645,-3.3542,-64.7114,80.6,89,9.22,75
266,Boueni,YT,1613335646,-12.9025,45.0761,78.8,83,12.66,100
267,Aykhal,RU,1613335647,66.0,111.5,-28.1,82,8.7,100
268,Dhidhdhoo,MV,1613335648,6.8833,73.1,80.64,65,7.0,68
269,Touros,BR,1613335650,-5.1989,-35.4608,84.2,65,18.41,0
270,Bathsheba,BB,1613335651,13.2167,-59.5167,82.4,61,23.02,40
271,Loa Janan,ID,1613335652,-0.583,117.095,71.02,95,1.41,98
272,Saint-François,FR,1613335653,46.4154,3.9054,35.01,86,3.44,0
273,Esperance,AU,1613335654,-33.8667,121.9,60.8,77,12.66,0
274,Rzhev,RU,1613335656,56.2624,34.3282,-2.16,92,7.34,9
275,Benguela,AO,1613335657,-12.5763,13.4055,74.82,81,5.39,0
276,Oranjemund,NA,1613335658,-28.55,16.4333,64.92,82,13.29,41
277,Narsaq,GL,1613335659,60.9167,-46.05,32.0,74,1.32,75
278,Aklavik,CA,1613335660,68.2191,-135.0107,-0.4,78,9.22,90
279,Lavrentiya,RU,1613335661,65.5833,-171.0,-11.09,85,12.15,31
280,Babylon,US,1613335662,40.6957,-73.3257,37.4,65,8.05,90
281,Clyde River,CA,1613335664,70.4692,-68.5914,-11.2,84,1.9,99
282,Kangaatsiaq,GL,1613335665,68.3065,-53.4641,-0.87,91,9.33,56
283,Grand Island,US,1613335523,40.925,-98.342,-4.0,59,14.97,90
284,Adrar,MR,1613335667,20.5022,-10.0711,70.48,20,11.07,0
285,Sibu,MY,1613335668,2.3,111.8167,73.4,94,1.52,20
286,Marawi,PH,1613335669,7.9986,124.2928,73.99,95,5.99,4
287,Opuwo,NA,1613335671,-18.0607,13.84,68.81,70,6.67,95
288,Qaqortoq,GL,1613335673,60.7167,-46.0333,32.0,74,1.54,75
289,Shimoda,JP,1613335674,34.6667,138.95,51.01,92,18.68,100
290,Forsytheganj,BY,1613335675,52.6333,29.7333,14.65,97,4.63,97
291,São Sepé,BR,1613335621,-30.1606,-53.5653,82.4,57,6.91,40
292,Acapulco de Juárez,MX,1613335572,16.8634,-99.8901,80.6,50,10.36,20
293,Moerai,PF,1613335678,-22.4333,-151.3333,81.88,72,10.38,37
294,Akçakoca,TR,1613335680,41.0866,31.1162,34.84,93,14.38,100
295,Lubao,PH,1613335681,14.9167,120.55,75.2,94,2.3,75
296,Dicabisagan,PH,1613335682,17.0818,122.4157,72.16,85,4.09,100
297,Yuyao,CN,1613335683,30.05,121.1494,55.99,82,6.71,0
298,Mar de Espanha,BR,1613335684,-21.8672,-43.0097,73.89,91,2.33,100
299,Cockburn Town,TC,1613335685,21.4612,-71.1419,80.6,61,13.8,20
300,Melville,US,1613335686,40.7934,-73.4151,37.4,65,8.05,90
301,Serebryanyy Bor,RU,1613335688,56.8,124.8,-21.87,85,3.89,100
302,Novosheshminsk,RU,1613335689,55.0651,51.2338,6.17,92,9.66,100
303,Hastings,GB,1613335690,50.8552,0.5729,39.0,61,8.99,100
304,Joshīmath,IN,1613335691,30.5667,79.5667,43.57,52,5.17,66
305,Port Moresby,PG,1613335692,-9.4431,147.1797,75.2,100,4.61,75
306,Atar,MR,1613335693,20.5169,-13.0499,71.42,20,10.6,0
307,Tautira,PF,1613335695,-17.7333,-149.15,86.0,66,16.11,20
308,Yagodnoye,RU,1613335696,62.55,149.6667,-23.39,84,0.22,70
309,Mitú,CO,1613335403,1.1983,-70.1733,88.0,60,3.24,46
310,Carutapera,BR,1613335698,-1.195,-46.02,78.37,84,6.85,100
311,Cairns,AU,1613335701,-16.9167,145.7667,77.0,78,2.3,40
312,Tākestān,IR,1613335702,36.0696,49.6959,41.0,45,4.61,0
313,Arrondissement de Perpignan,FR,1613335704,42.75,2.75,46.4,61,10.36,90
314,Okhotsk,RU,1613335705,59.3833,143.3,5.22,93,1.12,100
315,Springbok,ZA,1613335706,-29.6643,17.8865,57.25,85,10.51,63
316,Dingle,PH,1613335707,10.9995,122.6711,74.34,94,4.5,100
317,Monticello,US,1613335514,45.3055,-93.7941,-5.8,45,8.41,1
318,Quatre Cocos,MU,1613335709,-20.2078,57.7625,77.0,88,3.44,40
319,Erzin,TR,1613335650,36.9559,36.2,60.01,63,5.99,0
320,Domoni,KM,1613335712,-12.2569,44.5319,81.23,80,9.84,99
321,Hamilton,US,1613335560,39.1834,-84.5333,28.4,59,8.05,75
322,Salta,AR,1613335714,-24.7859,-65.4117,82.4,47,10.36,40
323,Durant,US,1613335574,33.994,-96.3708,12.2,85,19.57,90
324,Laguna,US,1613335716,38.421,-121.4238,57.0,47,6.91,90
325,Chodavaram,IN,1613335720,17.8333,82.95,69.8,88,2.3,0
326,Saint-Prosper,CA,1613335721,46.2117,-70.4811,23.0,68,4.61,100
327,Sept-Îles,CA,1613335645,50.2001,-66.3821,18.0,73,5.75,75
328,Nemuro,JP,1613335723,43.3236,145.575,32.13,93,3.8,73
329,Ekhabi,RU,1613335724,53.5102,142.9671,4.03,94,6.87,58
330,South Kazakhstan Region,KZ,1613335726,43.0,68.0,46.49,58,4.9,0
331,Sioux Lookout,CA,1613335728,50.1001,-91.917,-11.2,58,8.05,40
332,Verkhoyansk,RU,1613335729,67.5447,133.385,-27.26,83,0.72,83
333,Vila Velha,BR,1613335583,-20.3297,-40.2925,88.0,65,18.41,20
334,Byron Bay,AU,1613335594,-28.65,153.6167,66.2,82,9.22,90
335,Buraidah,SA,1613335602,26.326,43.975,66.2,48,4.61,0
336,Lamu,KE,1613335734,-2.2717,40.902,77.16,85,12.84,25
337,Khasan,RU,1613335735,42.4308,130.6434,25.77,98,11.25,100
338,Lexington,US,1613335736,37.9887,-84.4777,26.01,80,10.36,90
339,Ulaanbaatar,MN,1613335737,47.9077,106.8832,-11.2,77,0.83,75
340,Iporá,BR,1613335739,-16.4419,-51.1178,75.24,93,5.64,100
341,Kendari,ID,1613335740,-3.945,122.4989,76.17,83,2.93,100
342,Rabo de Peixe,PT,1613335741,37.8,-25.5833,60.01,72,21.85,75
343,Nanganga,TZ,1613335742,-10.3833,39.15,74.48,91,3.4,93
344,Port Hardy,CA,1613335743,50.6996,-127.4199,39.2,87,26.46,90
345,Ankazoabo,MG,1613335744,-22.2833,44.5167,71.08,93,4.16,100
346,Ahipara,NZ,1613335746,-35.1667,173.1667,71.58,93,14.85,100
347,Kefamenanu,ID,1613335747,-9.4467,124.4781,69.78,91,1.57,86
348,Rawson,AR,1613335748,-43.3002,-65.1023,63.41,49,25.86,56
349,Santa Isabel Rio Negro,BR,1613335749,-0.4139,-65.0192,91.49,52,3.11,60
350,Sambava,MG,1613335750,-14.2667,50.1667,76.32,89,4.85,100
351,Sola,VU,1613335751,-13.8833,167.55,81.86,81,13.53,61
352,Kawalu,ID,1613335753,-7.3817,108.2082,71.51,90,2.68,62
353,Cancún,MX,1613335572,21.1743,-86.8466,86.0,66,14.97,75
354,Zaraza,VE,1613335755,9.3503,-65.3245,87.51,49,11.79,100
355,Padang,ID,1613335758,-0.9492,100.3543,75.2,94,1.14,20
